Match_addr,ARC_Street,File_,Directory,Full_Link,Quick_Link,Date_,Location,Back_of_Sh,Job_Catego,Hyperlink,GlobalID,Leak_Numbe,Leak_Num_Y,X,Y
1500 COURT ST,1500 Court St,DOC010412-003.tif,S:\WORKSHEETS\Worksheets_2011-12,S:\WORKSHEETS\Worksheets_2011-12\DOC010412-003.tif,DOC010412-003.tif,12/30/2011,1500 Court St,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2011-12\DOC010412-003.tif,{8289AB57-3B90-4B17-9F86-833061EB7260},277,2011,-76.14650000000,43.07820000000
339 NORWOOD AVE,339 Norwood Ave.,DOC010412-016.tif,S:\WORKSHEETS\Worksheets_2011-12,S:\WORKSHEETS\Worksheets_2011-12\DOC010412-016.tif,DOC010412-016.tif,12/26/2011,339 Norwood Ave.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2011-12\DOC010412-016.tif,{E7A3C296-FD11-4AB6-B5E4-D1FC3592794B},273,2011,-76.11000000000,43.07450000000
945 JAMESVILLE AVE,945 Jamesville Ave.,DOC010412-017.tif,S:\WORKSHEETS\Worksheets_2011-12,S:\WORKSHEETS\Worksheets_2011-12\DOC010412-017.tif,DOC010412-017.tif,12/24/2011,945 Jamesville Ave.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2011-12\DOC010412-017.tif,{1987B1EE-5E22-4297-8001-6872B500AB35},272,2011,-76.12960000000,43.01770000000
E MATSON AVE & S SALINA ST,Matson St. & South Salina St.,DOC010412-034.tif,S:\WORKSHEETS\Worksheets_2011-12,S:\WORKSHEETS\Worksheets_2011-12\DOC010412-034.tif,DOC010412-034.tif,12/20/2011,Matson St. & South Salina St.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2011-12\DOC010412-034.tif,{58A9A9DB-C029-4CAC-870C-591C57FE13EA},270,2011,-76.14170000000,43.01340000000
122 HIGHBRIDGE ST,122 Highbridge Drive,DOC110911-012.tif,S:\WORKSHEETS\Worksheets_2011-10,S:\WORKSHEETS\Worksheets_2011-10\DOC110911-012.tif,DOC110911-012.tif,10/26/2011,122 Highbridge Drive,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2011-10\DOC110911-012.tif,{C82A9EF8-E003-4691-929A-22C468A48D50},242,2011,-76.19820000000,43.02710000000
200 MITCHELL AVE,200 Mitchell Ave.,DOC110911-020.tif,S:\WORKSHEETS\Worksheets_2011-10,S:\WORKSHEETS\Worksheets_2011-10\DOC110911-020.tif,DOC110911-020.tif,10/25/2011,200 Mitchell Ave.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2011-10\DOC110911-020.tif,{2B4F8667-016A-4D4B-8E63-6DAA8D9CFDD7},,2011,-76.17010000000,43.01080000000
OFF,East Of Rt. 81,DOC062011-153.tif,S:\WORKSHEETS\Worksheets_2010-2,S:\WORKSHEETS\Worksheets_2010-2\DOC062011-153.tif,DOC062011-153.tif,2/23/2010,East Of Rt. 81,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2010-2\DOC062011-153.tif,{B387A79B-6DF5-4C66-B0EF-CFEDD38AB0F3},,2010,-76.14010000000,43.02770000000
399 HERRIMAN ST,513 Harriman St,DOC070611-001.tif,S:\WORKSHEETS\Worksheets_2010-8,S:\WORKSHEETS\Worksheets_2010-8\DOC070611-001.tif,DOC070611-001.tif,8/1/2010,513 Hamilton St,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2010-8\DOC070611-001.tif,{C7C539C2-4ADA-4498-AC1C-AE4B46293321},195,2010,-76.18910000000,43.04960000000
101 WALTERS DR,101 Walters Dr.,DOC060911-021.tif,S:\WORKSHEETS\Worksheets_2009-1,S:\WORKSHEETS\Worksheets_2009-1\DOC060911-021.tif,DOC060911-021.tif,1/1/2009,101 Walters Dr.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2009-1\DOC060911-021.tif,{09FB101B-CADC-4B5E-971A-366B88E00766},216,2009,-76.09870000000,43.06980000000
101 OAKLEY DR,101 Oakley Dr.,DOC062011-088.tif,S:\WORKSHEETS\Worksheets_2009-12,S:\WORKSHEETS\Worksheets_2009-12\DOC062011-088.tif,DOC062011-088.tif,12/29/2009,101 Oakley Dr.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2009-12\DOC062011-088.tif,{15D8D032-FBB5-4F07-B73A-C0F3F44D9AD9},219,2009,-76.14290000000,42.98720000000
